"curve_identifier","ppfd","RSS","Vcmax_tl","J_tl","Tp_tl","RL_tl","alpha_old","Vcmax_at_25","J_at_25","Tp_at_25","RL_at_25","Notes","RMSE","AIC","alpha_old_lower","alpha_old_upper","J_at_25_lower","J_at_25_upper","RL_at_25_lower","RL_at_25_upper","Tp_at_25_lower","Tp_at_25_upper","Vcmax_at_25_lower","Vcmax_at_25_upper","J_tl_lower","J_tl_upper","RL_tl_lower","RL_tl_upper","Tp_tl_lower","Tp_tl_upper","Vcmax_tl_lower","Vcmax_tl_upper"
"100 - wt-3-2 - mcgrath1",100,0.349095301,26.30549189,33.24172889,NA,1.012427826,NA,22.07520683,29.54291337,NA,0.893781746,"All points fit, no TPU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100 - wt-4 - ripe5",100,0.678453771,24.7167914,37.48469768,NA,1.066858513,NA,20.74199124,33.31376596,NA,0.94183372,"All points fit, no TPU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100 - wt-7 - ripe5",100,0.847684187,33.03823252,35.68846095,NA,1.329092794,NA,27.72523012,31.71739694,NA,1.173336853,"All points fit, no TPU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"100 - wt-8 - mcgrath1",100,1.152619728,28.19948969,33.62031273,NA,1.354963606,NA,23.66462372,29.87937209,NA,1.196175872,"All points fit, no TPU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150 - wt-1 - ripe5",150,0.816876795,35.78043754,58.7865704,NA,2.67356075,NA,30.02645084,52.24537395,NA,2.360247056,"All points fit, no TPU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150 - wt-3 - mcgrath1",150,1.809619437,32.70120686,49.08465464,NA,1.09202295,NA,27.44240282,43.62299279,NA,0.964049145,"All points fit, no TPU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"150 - wt-6 - ripe5",150,1.645417504,44.10001225,52.4122725,NA,1.018552591,NA,37.00812346,46.58034578,NA,0.899188753,"All points fit, no TPU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200 - wt-1 - ripe5",200,1.626641986,45.99238041,72.18637263,NA,1.102196304,NA,38.59617278,64.15417682,NA,0.973030286,"All points fit, no TPU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200 - wt-8 - mcgrath1",200,0.442857809,41.85920746,64.67310242,NA,1.042566096,NA,35.12767091,57.47691007,NA,0.920388123,"All points fit, no TPU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"200 - wt-10 - mcgrath1",200,1.809708487,42.08592874,64.20230049,NA,1.327792302,NA,35.31793229,57.05849439,NA,1.172188765,"All points fit, no TPU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"250 - wt-1 - mcgrath2",250,0.529050361,41.16934535,77.47194112,NA,1.583601411,NA,34.54874812,68.85161877,NA,1.39801969,"All points fit, no TPU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"250 - wt-1 - ripe5",250,2.252174718,61.46156431,89.24178527,NA,1.46475652,NA,51.57769905,79.31182941,NA,1.293102191,"All points fit, no TPU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"250 - wt-5 - ripe5",250,2.271300801,62.61118304,84.88886968,NA,0.905062128,NA,52.54244327,75.44326383,NA,0.798998199,"All points fit, no TPU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"250 - wt-7 - mcgrath1",250,2.77186562,51.40027841,79.76398557,NA,1.319127389,NA,43.13440637,70.88862686,NA,1.16453929,"All points fit, no TPU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"300 - wt-1 - mcgrath1",300,0.778477374,60.57115873,94.10654956,NA,1.60600689,NA,50.83048294,83.63529016,NA,1.417799478,"All points fit, no TPU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"300 - wt-3 - ripe5",300,1.188536031,68.84833985,105.7956,NA,1.655004533,NA,57.77657944,94.02369701,NA,1.461055103,"All points fit, no TPU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"300 - wt-8 - ripe5",300,0.403477747,63.42156414,95.96359817,6.705354433,1.173137255,0.114392997,53.22250394,85.2857045,5.975072972,1.035657691,"All points fit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"300 - wt-9 - ripe5",300,3.969450937,70.62461887,96.61768479,NA,0.889517457,NA,59.26720835,85.86701074,NA,0.785275203,"All points fit, no TPU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"400 - wt-2 - mcgrath1",400,1.947273133,67.92952821,118.0441915,8.311559862,1.607764503,0.024274287,57.00552535,104.9093846,7.406346254,1.419351117,"One point excluded from fit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"400 - wt-3 - ripe5",400,1.665761068,76.33579971,128.2669168,7.95860704,2.094869137,0.750107772,64.05995273,113.9946248,7.091833593,1.849372121,"All points fit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"400 - wt-9 - mcgrath1",400,2.121531255,79.47697124,114.6461722,7.553692332,1.288489775,0.568288383,66.69598065,101.8894638,6.731018224,1.137492088,"All points fit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"400 - wt-10 - ripe5",400,0.825820457,81.27135694,120.2637653,6.769107509,1.461960227,1.09195838,68.20180444,106.8819859,6.031882688,1.290633596,"All points fit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"450 - wt-5 - mcgrath2",450,0.124663994,70.52758846,123.6261292,8.269566927,1.469010322,0.572540521,59.18578176,109.8702188,7.368926778,1.296857492,"All points fit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"500 - wt-3 - ripe5",500,0.813221613,90.62351327,144.0196322,8.613003402,1.650518906,0.771080117,76.05000534,127.9945316,7.674959519,1.457095145,"All points fit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"500 - wt-7 - ripe5",500,1.431119263,96.96654094,140.8469731,7.543407327,1.588976426,0.953430902,81.37298689,125.174895,6.721853362,1.402764808,"All points fit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"500 - wt-9 - mcgrath1",500,4.833148289,74.88005502,127.7844835,7.686945646,1.843488282,0.74725042,62.83831181,113.565872,6.849758894,1.627450505,"Three points excluded from fit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"500 - wt-10 - mcgrath1",500,1.48668775,80.17536312,131.0871613,8.191649592,1.26416156,0.629370247,67.28206151,116.5010599,7.299495435,1.116014889,"All points fit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"600 - wt-1 - mcgrath1",600,0.866383665,74.39106341,123.4277884,5.994981017,1.098046124,1.379697697,62.42795679,109.6939474,5.342066463,0.969366465,"All points fit, only one J point",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"600 - wt-8 - mcgrath2",600,0.677626091,74.82557278,126.4680374,8.679552173,1.225843807,0.19688386,62.79259107,112.3959071,7.73426045,1.08218758,"All points fit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"600 - wt-9 - mcgrath1",600,2.652373043,81.65122615,129.5778237,7.511358627,0.834710567,0.809247299,68.52058546,115.1596667,6.693295091,0.736891114,"All points fit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"800 - wt-5 - mcgrath1",800,9.572435954,90.73320008,159.9517678,8.403578174,0.703257619,1.097760904,76.14205301,142.1538944,7.488342834,0.620843093,"All points fit, only one J point; fit with no J has RSS = 9.577 vs 9.572",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1000 - wt-1 - mcgrath1",1000,8.752319851,77.05594073,NA,7.153571788,1.288179391,1.035680583,64.66428516,NA,6.374474887,1.137218077,"All points fit, no J",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1000 - wt-5 - mcgrath1",1000,3.999138411,99.13033084,170.8818011,10.87389414,2.017868534,0.50091898,83.18880959,151.8677402,9.689616206,1.781395193,"Two points excluded from fit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1200 - wt-6 - mcgrath1",1200,11.99625647,109.3952336,187.3633218,10.4665826,1.286284486,0.941005178,91.80297472,166.515358,9.326665046,1.135545236,"All points fit, only one J point",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1500 - wt-7 - mcgrath1",1500,6.886359547,111.6174248,193.8605525,11.26677422,1.296934406,0.950089299,93.66780706,172.2896401,10.03970764,1.144947095,"All points fit, only one J point",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1500 - wt-10 - mcgrath2",1500,3.698283405,101.8514115,187.9571775,9.944854591,1.813681668,1.420582535,85.47230301,167.0431352,8.861758535,1.601136918,"All points fit, only one J point",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
